Language	English	Japanese	Korean	Chinese Simplified	Chinese Traditional
sCustomShaderTitle	Frodted Glass	すりガラス	유리	磨砂玻璃	磨砂玻璃
sCustomPropertyCategory	Frodted Glass	すりガラス	유리	磨砂玻璃	磨砂玻璃
sGaussKernelSize	Gaussian Kernel Size	ガウシアンカーネルサイズ	가우시안 커널 크기	高斯核大小	高斯核大小
sGaussStdDev	Gaussian Kernel Size	標準偏差	표준편차	标准差	標準差
sFrostedGlassBlend	Blend	ブレンド	블렌드	混合	混合
